,0,1,2,3,4,5,6,7,8,9,10,11
361,1547,1497,38,6278,62,2012-Q3,1,A07,A00,U,22,54
362,6,6,,401,,2012-Q3,2,A02,A00,U,22,54
363,330,322,6,3687,7,2012-Q3,2,A07,A00,U,22,54
364,1815,1012,969,2734,1204,2012-Q3,1,A02,A00,U,23,54
365,5425,4591,1401,4942,1423,2012-Q3,1,A07,A00,U,23,54
366,198,68,70,1779,164,2012-Q3,2,A02,A00,U,23,54
367,739,655,108,2924,127,2012-Q3,2,A07,A00,U,23,54
368,86,49,21,1434,42,2012-Q4,1,A02,A00,U,11,54
369,182,142,19,3264,46,2012-Q4,1,A07,A00,U,11,54
370,27,18,,1118,10,2012-Q4,2,A02,A00,U,11,54
371,61,43,7,1768,25,2012-Q4,2,A07,A00,U,11,54
372,773,657,187,5048,173,2012-Q4,1,A02,A00,U,21,54
373,5550,5171,305,7204,511,2012-Q4,1,A07,A00,U,21,54
374,27,24,8,1476,7,2012-Q4,2,A02,A00,U,21,54
375,284,265,18,5284,29,2012-Q4,2,A07,A00,U,21,54
376,52,48,6,2207,4,2012-Q4,1,A02,A00,U,22,54
377,1594,1564,39,6654,52,2012-Q4,1,A07,A00,U,22,54
378,6,4,3,830,3,2012-Q4,2,A02,A00,U,22,54
379,334,322,9,3970,12,2012-Q4,2,A07,A00,U,22,54
380,1495,987,603,2439,787,2012-Q4,1,A02,A00,U,23,54
381,5585,4396,1001,5050,1709,2012-Q4,1,A07,A00,U,23,54
382,88,51,30,1513,49,2012-Q4,2,A02,A00,U,23,54
383,744,642,95,3007,154,2012-Q4,2,A07,A00,U,23,54
384,830,688,281,1489,243,2010-Q1,1,A02,A00,U,11,42
385,1786,1647,240,2940,229,2010-Q1,1,A07,A00,U,11,42
386,373,310,139,1157,108,2010-Q1,2,A02,A00,U,11,42
387,934,855,177,1913,138,2010-Q1,2,A07,A00,U,11,42
388,536,453,278,3483,142,2010-Q1,1,A02,A00,U,21,42
389,3749,3526,251,5758,294,2010-Q1,1,A07,A00,U,21,42
390,29,25,16,1475,13,2010-Q1,2,A02,A00,U,21,42
391,299,282,31,3915,23,2010-Q1,2,A07,A00,U,21,42
392,171,157,41,2989,21,2010-Q1,1,A02,A00,U,22,42
393,6039,5733,497,7918,510,2010-Q1,1,A07,A00,U,22,42
394,48,40,24,1385,11,2010-Q1,2,A02,A00,U,22,42
395,1530,1466,100,4960,105,2010-Q1,2,A07,A00,U,22,42
396,5377,4399,1754,1736,1481,2010-Q1,1,A02,A00,U,23,42
397,23423,21117,3292,4634,3538,2010-Q1,1,A07,A00,U,23,42
398,521,417,226,1057,184,2010-Q1,2,A02,A00,U,23,42
